fnr,fnavn,sick_pct,year_q,pop,agegroup0_share,agegroup10_share,agegroup20_share,agegroup30_share,agegroup40_share,agegroup50_share,agegroup60_share,agegroup70_share,agegroup80_share,agegroup90_share,age_avg,uniwork_share,femalework_share,healthsoc_share,pub_defense_socins_share,post,quarters
16,Sør-Trøndelag,6.3,2011,294066,0.12284997,0.12751219,0.14450158,0.13858114,0.14136282,0.12228207,0.10310951,0.057068821,0.035893302,0.006838601,38.137463,0.34814262,0.53259289,0.19700035,0.053183265,0,13
16,Sør-Trøndelag,5.8,2012,297950,0.121658,0.12484645,0.14926666,0.13634166,0.14213459,0.12174191,0.1044974,0.057395536,0.035106562,0.007011244,38.211021,0.36486247,0.53541028,0.19514182,0.054700326,0,17
16,Sør-Trøndelag,6,2013,302755,0.12100213,0.12262721,0.15248634,0.13572361,0.14205545,0.12120031,0.10497267,0.05831448,0.034522966,0.007094846,38.265854,0.37328398,0.53575718,0.19499891,0.05422822,0,21
16,Sør-Trøndelag,5.6,2014,306197,0.12061843,0.12057597,0.15404789,0.13427956,0.14196417,0.12123241,0.10533088,0.060660295,0.033867087,0.007423325,38.396729,,,,,1,25
16,Sør-Trøndelag,5.8,2015,310047,0.11991085,0.11884972,0.15625051,0.13321529,0.1412044,0.12131064,0.10511955,0.063164614,0.033249799,0.007724635,38.508545,,,,,1,29
17,Nord-Trøndelag,6.9,2008,129856,0.12466887,0.1443368,0.10895915,0.12283607,0.13835326,0.13469535,0.10765001,0.06699729,0.043887075,0.007616129,39.325699,0.25434652,0.53530031,0.20442197,0.055523694,0,1
17,Nord-Trøndelag,7.1,2009,130708,0.12373382,0.14348012,0.10993207,0.11969428,0.13980016,0.13322826,0.11188298,0.066583529,0.043440342,0.008224439,39.472557,0.26615012,0.53034401,0.21295065,0.058151085,0,5
17,Nord-Trøndelag,6.6,2010,131555,0.12226825,0.1428604,0.11156551,0.11641519,0.14030634,0.13265935,0.11490251,0.067431875,0.043267075,0.008323515,39.62574,0.27012047,0.52943063,0.21356481,0.059181899,0,9
17,Nord-Trøndelag,6.8,2011,132140,0.12109127,0.14229605,0.11434842,0.11372787,0.13982897,0.13169366,0.11795823,0.067852281,0.042515513,0.008687755,39.71294,0.27106062,0.53241366,0.21367174,0.059267275,0,13
17,Nord-Trøndelag,6.1,2012,133390,0.12035385,0.14025789,0.11664293,0.11159007,0.14123248,0.13037708,0.12015144,0.068813257,0.042222057,0.008358947,39.818718,0.2826429,0.53682256,0.21652561,0.060148478,0,17
17,Nord-Trøndelag,6.8,2013,134443,0.11957484,0.13773867,0.11834756,0.11047804,0.14121971,0.13000305,0.12193272,0.070647039,0.041288875,0.008769516,39.967243,0.28941071,0.53539419,0.22016793,0.059597235,0,21
17,Nord-Trøndelag,6.2,2014,135142,0.11932634,0.13628627,0.12047328,0.10875967,0.13934232,0.13028519,0.12255257,0.073611461,0.04038715,0.008975744,40.096619,,,,,1,25
17,Nord-Trøndelag,6.4,2015,135738,0.1188245,0.13338196,0.12296483,0.1077517,0.13789801,0.13011831,0.12348053,0.076271936,0.040320322,0.008987904,40.254417,,,,,1,29
18,Nordland,6.8,2008,234996,0.11698072,0.14202794,0.11006571,0.12435956,0.14097686,0.13656403,0.10810397,0.069703311,0.043132648,0.008085244,39.774239,0.24636596,0.53058976,0.21636891,0.07504309,0,1
18,Nordland,7,2009,235380,0.11528167,0.14114198,0.11180644,0.12065171,0.14256096,0.13560626,0.11172997,0.06954287,0.043414902,0.008263234,39.93951,0.25670424,0.5292877,0.22435041,0.079081438,0,5
